"Transactions  for account General Investing ...XXX as of 05/03/2023 02:21:05 PM ET"
"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"04/27/2023","Buy","BND","VANGUARD TOTAL BOND MARKET ETF","45","$73.7789","","-$3320.05"
"04/27/2023","Journal","","TRANSFER FUNDS FROM SCHWAB BANK - XXX","","","","$7461.72"
"04/20/2023","Journal","","TRANSFER FUNDS TO SCHWAB BANK - XXX","","","","-$7461.72"
"04/18/2023","Sell","BND","VANGUARD TOTAL BOND MARKET ETF","10.065","$73.4049","$0.01","$738.81"
"04/17/2023 as of 04/15/2023","Bank Interest","","BANK INT 031623-041523 SCHWAB BANK","","","","$0.03"
"04/10/2023","Reinvest Shares","BND","VANGUARD TOTAL BOND MARKET ETF","0.0249","$73.8993","","-$1.84"
"04/06/2023","Reinvest Dividend","BND","VANGUARD TOTAL BOND MARKET ETF","","","","$1.84"
"02/01/2023","Qualified Dividend","GIS","GENERAL MILLS INC","","","","$0.54"
"01/17/2023","Cash Dividend","SWVXX","SCHWAB VALUE ADVANTAGE MONEY INV","","","","$0.98"
"01/09/2023","MoneyLink Deposit","","John Smith","","","","$25.00"
"12/15/2022","MoneyLink Transfer","","Tfr JPMORGAN CHASE BAN, NOT AVAILABLE","","","","$980.65"
"Transactions Total","","","","","","","-$1,574.04",
